33776, YES
22844, NO
14498, OK
13314, HELLO
11854, HI
10195, WHY
7614, WHAT IS YOUR NAME
7323, HOW ARE YOU
6190, WHAT
4952, 8E6D16352E3410CF
4952, 8B7D30E29E34103C
4374, OKAY
3389, HOW OLD ARE YOU
3352, YEAH
3329, BYE
3249, THANK YOU
2866, I DO NOT KNOW
2824, I LOVE YOU
2603, WHAT IS MY NAME
2542, HEY
2460, GOOD
2419, REALLY
2419, LOL
2240, YOU
2222, WHAT ARE YOU DOING
2040, K
1977, THANKS
1945, NOTHING
1900, SORRY
1824, TELL ME A JOKE
1768, SHUT UP
1669, WHO ARE YOU
1648, OH
1638, WHY NOT
1630, HA
1597, Y
1566, NOPE
1495, HOW
1405, COOL
1381, SO
1306, WHAT IS UP
1265, SEX
1224, I KNOW
1204, YEA
1195, WHAT TIME IS IT
1182, YEP
1165, FINE
1158, SURE
1136, IDK
1133, YUP
1133, YA
1126, ME TOO
1086, PLEASE
1085, WHERE ARE YOU FROM
1073, FUCK YOU
978, GOOD MORNING
954, WHERE DO YOU LIVE
941, WOW
933, D
923, I AM
906, RPAREN
894, NOW
892, WHERE ARE YOU
891, WHO
881, U
858, FUCK
855, GOOD NIGHT
855, BITCH
837, HOW ARE YOU TODAY
835, ME
834, YES I DO
822, GOODBYE
812, I AM SORRY
798, TELL ME
797, I
789, ARE YOU
784, I SEE
766, DASH RPAREN
742, HELLO HOW ARE YOU
741, AGAIN
731, WHAT DO YOU DO
723, PHONE BOOK
708, S
702, BAD ANSWER
692, START
684, H
680, HUH
667, GREAT
662, NICE
653, HI HOW ARE YOU
653, F
650, I HATE YOU
628, WHAT IS
628, A
627, F ASTERISK ASTERISK ASTERISK YOU
621, DO YOU LOVE ME
616, YES I AM
614, HOW ARE YOU DOING
592, O
589, YOU ARE STUPID
587, WHAT DO YOU MEAN
584, WHERE
579, HAHA
574, YES YES
563, MIKE
556, FACEBOOK
555, WHAT ARE YOU
533, G
529, HMM
522, CALL MOM
514, YES IT IS
513, YO MAMA
511, NOTE
497, STUPID
491, WELL
485, GOOGLE
474, AND YOU
473, LPAREN
472, ALRIGHT
465, CALL
460, WHAT CAN YOU DO
455, WHAT IS THAT
454, I LIKE YOU
454, HOW ABOUT YOU
453, MAYBE
452, NEVERMIND
447, ARE YOU MARRIED
440, HOW R U
439, I DO
435, 1
433, B
425, WHATEVER
424, DO YOU LIKE ME
422, YES PLEASE
420, WHERE AM I
420, DO YOU HAVE A BOYFRIEND
419, WHAT IS YOUR FAVORITE COLOR
419, I AM FINE
416, YOU ARE
413, LIKE WHAT
412, WHAT IS IT
411, WHAT ARE YOU DOING NOW
410, OF COURSE
409, NOT REALLY
408, WHAT DOES THAT MEAN
406, MITSUKU
404, WHEN
403, LOVE
402, WHAT DO YOU LOOK LIKE
393, YAHOO
391, P
391, NICE TO MEET YOU
390, C
390, BYE BYE
389, WHAT ABOUT YOU
389, DO YOU KNOW MY NAME
383, WAT
383, ASK
377, ARE YOU SURE
373, YES YOU ARE
370, N
370, HOLA
367, YOUTUBE
365, HI MIKE
363, RIGHT
357, YOUR MOM
357, KK
355, STOP
355, SPEAK
352, MY NAME IS
349, WHAT DO YOU KNOW ABOUT ME
348, NO I DO NOT
347, I DO NOT UNDERSTAND
347, AND
347, ALL RIGHT
345, X
345, IT IS
343, KNOCK KNOCK
343, HOW DO YOU DO
343, BECAUSE
343, ASK ME
342, JOKE
342, DO YOU
340, HAWAII
340, CAN YOU HELP ME
335, YOUR WELCOME
335, WILL YOU MARRY ME
329, I DO NOT CARE
327, HELLO HELLO
325, J
324, YO
323, I DO NOT THINK SO
320, THEN
320, HE
319, WHAT IS YOUR FAVORITE MOVIE
319, WHAT IS YOUR FAVORITE FOOD
317, I DO NOT
315, ARE YOU A ROBOT
314, WHO AM I
314, SHOW ME
312, I AM BORED
308, TELL ME ANOTHER JOKE
306, WHAT ARE YOU TALKING ABOUT
306, EVERYTHING
305, NO IT IS NOT
304, TELL ME ABOUT YOURSELF
301, SHIT
294, WHERE YOU FROM
293, YOU SUCK
293, L
292, UM
292, NEVER
291, LOVE YOU
288, THAT IS GOOD
285, AH
283, KISS ME
278, W
278, PENIS
277, MAN
276, I LOVE U
275, NO I AM NOT
274, ENGLISH
274, ARE YOU GAY
273, I AM HUNGRY
272, M
268, I DID
267, FUCK U
265, NOT
263, HELLO MIKE
261, WEATHER
261, FROM MY PHONE BOOK
260, NO NO
258, MOM
258, IDIOT
257, YAY
257, MORE
256, GO
256, FUCK OFF
255, BABY
255, 3
254, DO YOU LIKE
253, TEXT
253, NEW YORK
253, E
253, 5
249, WHAT IS THE MEANING OF LIFE
247, WHAT IS YOUR NAME WHAT IS YOUR NAME
247, AWESOME
245, SHOW ME A PICTURE OF YOU
243, SO WHAT
243, NICE TO MEET YOU TOO
243, FUNNY
238, NO PROBLEM
237, WHAT IS THE WEATHER
236, HOW DO YOU KNOW
235, TELL ME A STORY
235, HOW OLD AM I
235, DO NOT KNOW
235, 2
233, BUT WHY
232, BAD
231, DO YOU BELIEVE IN GOD
231, ABOUT WHAT
228, SUCK MY DICK
228, SOMETIMES
226, LIKE
226, CALL ME
225, OH REALLY
224, HOW ARE U
223, WHAT ELSE
223, SUP
223, PORN
220, WHAT IS THE WEATHER LIKE
220, WHAT DO YOU THINK
220, NAME
220, I AM NOT
219, FUCK ME
219, DO YOU KNOW
218, WHAT ARE YOU WEARING
217, HMMM
216, CORRECT
215, SEXY
214, UH
213, YOU TELL ME
213, ARE YOU A GIRL
210, YES YOU DO
210, R
209, OK BYE
208, GO AHEAD
207, DO YOU REMEMBER MY NAME
206, I WILL
205, NONE
205, HELP
205, BATTERY LEVEL
204, GAY
203, PHONE
201, WHITE
201, SEE YOU LATER
201, DICK
200, WRONG
200, TELL ME MORE
200, Q
200, GO TO HELL
200, DO IT
197, ASS
197, ARE YOU MALE OR FEMALE
196, ARE YOU STUPID
195, DO
194, TRUE
194, I LOVE
194, I DO NOT LIKE YOU
193, WHAT YOU DOING
193, VERY GOOD
193, T
192, WHAT IS YOUR AGE
192, MY NAME
192, I AM TIRED
191, ASK ME A QUESTION
190, YOU ARE WELCOME
190, WHAT IS YOUR FAVORITE SONG
190, WHAT IS GOING ON
190, MAIL
189, TALK TO ME
189, ARE YOU THERE
188, WTF
188, 7
187, YOUR NAME
187, 4
186, YES OF COURSE
186, F ASTERISK ASTERISK ASTERISK
185, OMG
185, HELLO THERE
185, FOR WHAT
184, MMM
184, I THINK SO
184, HOME
183, WHAT IS YOUR JOB
182, WHY IS THAT
181, EVERYDAY
181, CONTACTS
180, WHO IS SQUARE BEAR
180, THAT IS COOL
180, I AM GOOD
180, HI THERE
178, OKAY BYE
178, HOW MUCH
177, HELP ME
177, ALICE
176, ALL
174, CALL HOME
173, TODAY
173, MAP
173, GOD
173, EXACTLY
172, WHO CREATED YOU
172, I DUNNO
172, CAN YOU
171, WHAT DO YOU LIKE
171, HAHAHA
170, WHAT YOUR NAME
170, ARE YOU MAD
168, LIAR
167, V
167, BUY
166, WHERE ARE YOU NOW
166, I GIVE UP
166, GOODNIGHT
166, BUT
165, YE
164, WHAT DO YOU SEE
164, HOW MANY
164, BY
163, I AM A MAN
162, YOU ARE FUNNY
162, THANK YOU VERY MUCH
162, TELL
162, OKAY THANK YOU
162, GOOD EVENING
162, ASK ME SOMETHING
162, 10
161, ARE YOU CRAZY
160, WHAT ARE YOU DOING RIGHT NOW
160, TALK
160, ROCK
159, WHAT DO YOU KNOW
159, I AM FINE THANK YOU
159, HM
159, DUDE
159, ARE YOU DOING
159, 6
158, NOT MUCH
158, HA HA HA
158, DO YOU SPEAK SPANISH
157, NO YOU DO NOT
157, ME TO
157, IS
156, YAH
156, FOOD
156, ARE YOU OKAY
155, WHAT DO YOU WANT
155, I DID NOT
154, DAA4A0373E3410CD
153, NEVER MIND
152, YOU ARE UGLY
152, WHO IS THAT
152, WHERE DO I LIVE
152, OKEY
152, GOSSIP
152, DO YOU HAVE A GIRLFRIEND
152, BONJOUR
152, 9
151, WHO IS THERE
151, DOG
151, BLUE
150, SEE YOU
150, NO THANK YOU
150, NI
150, I WANT TO LEARN ENGLISH
150, HOW IS IT GOING
150, HALLO
150, FORGET IT
150, FA98D52B2E341364
150, DO YOU LIKE SEX
149, ZBERT
149, MY
149, I AGREE
149, HOW WAS YOUR DAY
148, WHO IS THIS
148, PIZZA
148, KISS
148, JELOU
148, IK
148, HOW ARE YOU HOW ARE YOU
148, BOOBS
147, I AM SAD
147, BOTH
147, BOO
147, ANYTHING
146, POOP
146, IT
146, I WANT
146, I LIKE
145, YOU KNOW
145, YES YOU
145, THAT IS RIGHT
145, IM SORRY
145, HELLO WHAT IS YOUR NAME
145, 8
144, YOU ARE RIGHT
144, YES I DID
144, OH YEAH
144, HOW ARE YOU DOING TODAY
144, DO YOU KNOW ME
143, WHAT IS THE TIME
143, THAT IS GREAT
143, TEACH ME
143, I MISS YOU
143, EXCUSE ME
142, WHAT IS SEX
142, THANK U
142, SING ME A SONG
142, HOW IS THE WEATHER
142, EXIT
141, UGH
141, NOT AT ALL
141, MARRY ME
141, I CAN NOT
140, PUSSY
140, OH OK
140, B ASTERISK ASTERISK ASTERISK ASTERISK
139, VAGINA
139, JK
138, WHAT IS MY BATTERY LEVEL
138, RIGHT NOW
138, MERCURY
138, HOW YOU DOING
138, HA HA
138, GAMES
137, NAH
137, HAI
137, CAN YOU TEACH ME ENGLISH
136, NEXT QUESTION
136, I AM NOT SURE
136, I AM BACK
136, BORING
136, BATTERY
135, WHAT TIME
135, SLEEP
135, PLAY MUSIC
135, NO THANKS
135, ITS OK
135, GOOD AFTERNOON
134, WRONG ANSWER
134, WHO MADE YOU
134, RED
134, NO YOUR NOT
134, NIGHT
134, CAN I CHANGE YOUR NAME
134, ARE YOU SINGLE
133, WHEN IS YOUR BIRTHDAY
133, TELL ME SOMETHING
133, TELL ME ABOUT YOU
132, YOUR MAMA
132, WHAT DO YOU WANT TO TALK ABOUT
132, NO ITS NOT
132, DIE
132, COME ON
131, ZOE
131, YOU ARE A ROBOT
131, WHAT CAN YOU DO FOR ME
131, SHOW
131, MUSIC
131, MM
131, HOW TALL ARE YOU
131, GOOD BYE
131, FROM PHONE BOOK
130, YEAH RIGHT
130, HERE
130, CRAZY
129, WELCOME
129, NO I DID NOT
